logFoldChange,adjustPValue,Cluster,Gene
1.213820287,2.05E-38,STIM_11_Mk,MAP3K7CL
1.213513884,2.29E-145,STIM_10_B Activated,CD70
1.211262636,0,STIM_0_CD14 Mono,C15orf48
1.211212833,9.46E-97,CTRL_9_B Activated,RPL22L1
1.209552887,7.51E-38,CTRL_8_DC,ID2
1.209325985,4.28E-95,STIM_8_T activated,SBDS
1.208296121,0,CTRL_0_CD14 Mono,C15orf48
1.204613864,6.57E-124,STIM_10_B Activated,SLAMF1
1.2046011,1.54E-38,CTRL_10_Mk,MAP3K7CL
1.204000043,3.92E-83,CTRL_7_T activated,SC5D
1.203879612,2.18E-50,CTRL_7_T activated,CHD1
1.203440429,4.90E-210,STIM_7_CD16 Mono,ATP1B3
1.203077519,1.99E-228,CTRL_4_CD16 Mono,WARS
1.201625197,3.85E-160,STIM_6_NK-CD8 T,CXCR3
1.201604556,4.53E-34,CTRL_12_pDC,FDFT1
1.201291224,6.55E-31,CTRL_12_pDC,AMICA1
1.200656295,0,STIM_0_CD14 Mono,TYMP
1.200437059,5.60E-101,STIM_10_B Activated,CKS2
1.200036308,2.77E-31,STIM_12_pDC,SPCS1
1.1975016,6.27E-35,STIM_10_B Activated,BCL2A1
1.194020845,4.40E-205,STIM_7_CD16 Mono,ADA
1.193517593,3.63E-109,CTRL_9_B Activated,EBNA1BP2
1.192426412,1.54E-57,CTRL_7_T activated,CCT4
1.192129655,1.76E-182,STIM_9_DC,ALDH2
1.191338184,9.40E-60,CTRL_9_B Activated,NCL
1.191167773,1.39E-264,STIM_7_CD16 Mono,RP11-290F20.3
1.190252903,0,STIM_0_CD14 Mono,S100A10
1.189484541,5.52E-108,CTRL_5_NK-CD8 T,LDHA
1.189084728,3.65E-56,STIM_8_T activated,NDNL2
1.188883727,8.51E-147,CTRL_8_DC,RAMP1
1.18658511,2.96E-196,STIM_9_DC,CKB
1.186239523,1.42E-95,CTRL_5_NK-CD8 T,GCHFR
1.185855735,9.70E-55,STIM_8_T activated,UBC
1.185742027,1.97E-111,CTRL_9_B Activated,CD79A
1.184941769,8.46E-74,STIM_8_T activated,SNHG15
1.184893509,6.10E-174,CTRL_8_DC,ALDH2
1.18474096,2.58E-76,CTRL_9_B Activated,LY9
1.184412565,3.32E-75,STIM_12_pDC,CYB561A3
1.182734886,1.53E-40,STIM_8_T activated,CHORDC1
1.179329818,9.92E-266,CTRL_1_CD4 Naive T,LDHB
1.178664737,4.56E-30,STIM_12_pDC,CTSC
1.178540976,3.62E-84,STIM_12_pDC,PLA2G16
1.175934485,0,CTRL_2_CD14 Mono,CD63
1.175565313,0,CTRL_0_CD14 Mono,TYROBP
1.174772149,3.74E-53,STIM_8_T activated,SRSF3
1.174615465,4.95E-209,CTRL_4_CD16 Mono,TNFSF13B
1.17449693,1.16E-53,CTRL_9_B Activated,SNRPD1
1.173148774,2.14E-47,CTRL_7_T activated,IDI1
1.171536068,2.00E-56,STIM_8_T activated,SOCS3
1.171463527,1.30E-191,CTRL_4_CD16 Mono,CTSS
1.17127296,4.45E-104,STIM_5_B,COX5A
1.169698048,1.36E-66,CTRL_9_B Activated,HLA-DRB1
1.166876076,6.34E-183,STIM_1_CD14 Mono,CCL7
1.166036018,3.86E-167,CTRL_12_pDC,DNASE1L3
1.165857314,3.26E-218,STIM_7_CD16 Mono,FGL2
1.165184642,3.23E-57,CTRL_11_Mk,NRGN
1.164160825,1.98E-53,STIM_8_T activated,UBB
1.163003596,1.03E-52,CTRL_7_T activated,EIF5
1.161479255,1.93E-94,STIM_8_T activated,BTG1
1.160834342,9.59E-46,STIM_10_B Activated,SERBP1
1.15982731,0,STIM_0_CD14 Mono,SDCBP
1.15922894,3.63E-12,CTRL_12_pDC,SYNGR2
1.158930019,0,STIM_0_CD14 Mono,ANXA5
1.158597008,0,STIM_0_CD14 Mono,MAFB
1.158032,2.44E-52,STIM_10_B Activated,SYNGR2
1.157766719,0,STIM_1_CD14 Mono,KYNU
1.157562546,9.62E-161,STIM_6_NK-CD8 T,SH2D2A
1.157303299,7.05E-197,CTRL_8_DC,GSN
1.156627329,4.50E-263,CTRL_0_CD14 Mono,CLEC5A
1.155337931,0,STIM_0_CD14 Mono,LILRB4
1.155221628,0,STIM_0_CD14 Mono,GPX1
1.154877046,1.08E-158,STIM_1_CD14 Mono,CTSC
1.154600228,8.37E-186,STIM_7_CD16 Mono,HN1
1.154548806,5.06E-243,STIM_9_DC,CLIC2
1.154263212,1.09E-94,STIM_10_B Activated,EBNA1BP2
1.153651168,4.06E-112,STIM_6_NK-CD8 T,GZMK
1.152346242,2.60E-71,STIM_8_T activated,PIK3IP1
1.151381313,2.15E-180,CTRL_6_B,KIAA0226L
1.15115338,3.44E-43,CTRL_12_pDC,CCDC50
1.150482752,0.017754546,CTRL_12_pDC,TCEAL1
1.149129808,4.09E-139,CTRL_11_Mk,TUBB1
1.148048679,4.70E-68,CTRL_6_B,SMIM14
1.147234925,0,STIM_1_CD14 Mono,PLEK
1.146990957,5.26E-41,CTRL_12_pDC,APP
1.146820074,1.03E-154,STIM_5_B,C7orf50
1.146674654,9.55E-57,STIM_10_B Activated,DDX39A
1.145925416,7.02E-214,STIM_7_CD16 Mono,TYROBP
1.143892531,1.50E-170,CTRL_1_CD4 Naive T,AES
1.142508445,1.03E-55,CTRL_9_B Activated,C1QBP
1.142204279,2.60E-132,STIM_0_CD14 Mono,IL8
1.142014626,4.23E-217,STIM_7_CD16 Mono,LILRB2
1.142012453,4.67E-203,STIM_7_CD16 Mono,PSAP
1.141673835,4.89E-44,STIM_8_T activated,EIF5
1.141263376,3.16E-166,CTRL_1_CD4 Naive T,GIMAP4
1.140938069,2.02E-163,STIM_7_CD16 Mono,NCF1
1.138635477,1.48E-65,STIM_10_B Activated,NOP58
1.138092529,0,CTRL_0_CD14 Mono,TIMP1
1.13803852,2.31E-276,STIM_1_CD14 Mono,S100A9
1.13766061,3.59E-177,CTRL_4_CD16 Mono,TIMP1
1.137373907,0,STIM_0_CD14 Mono,TIMP1
1.136594319,1.07E-91,STIM_9_DC,ANXA2
1.135899081,5.08E-54,CTRL_8_DC,FABP5
1.135174715,1.35E-144,STIM_9_DC,CPVL
1.135172378,0,STIM_0_CD14 Mono,GSTO1
1.134359884,3.90E-45,STIM_8_T activated,STK17A
1.133413872,2.57E-134,STIM_9_DC,DUSP5
1.131616016,3.58E-298,STIM_1_CD14 Mono,DRAM1
1.130805215,1.11E-255,CTRL_2_CD14 Mono,IGSF6
1.129707493,3.68E-09,CTRL_12_pDC,VAMP8
1.128614881,4.96E-216,STIM_0_CD14 Mono,CD14
1.127680084,1.20E-82,STIM_8_T activated,SLC2A3
1.12739947,0,CTRL_12_pDC,MAP1A
1.127104649,1.89E-191,CTRL_4_CD16 Mono,CD86
1.125378289,4.36E-43,STIM_10_B Activated,EIF5A
1.124076797,3.54E-56,STIM_10_B Activated,PHB
1.123654727,5.25E-62,STIM_10_B Activated,CCT4
1.123391843,9.83E-206,CTRL_4_CD16 Mono,OAS1
1.123272679,2.76E-79,STIM_10_B Activated,DCTPP1
1.122070724,2.77E-61,CTRL_10_Mk,MMD
1.121893175,1.08E-111,CTRL_5_NK-CD8 T,AOAH
1.121192108,3.59E-13,CTRL_11_Mk,NCOA4
1.120992612,1.89E-26,STIM_8_T activated,HSP90AB1
1.120955553,3.16E-204,STIM_7_CD16 Mono,TNFSF10
1.12045347,1.09E-51,STIM_9_DC,ID2
1.12014058,1.19E-69,CTRL_9_B Activated,PHB
1.120008328,5.24E-160,STIM_4_CD4 Naive T,ENO1
1.11930853,1.76E-29,STIM_8_T activated,JUN
1.11839851,2.23E-295,STIM_1_CD14 Mono,LYZ
1.117737484,3.93E-51,STIM_8_T activated,ARID5A
1.117001543,5.09E-133,STIM_7_CD16 Mono,VAMP5
1.116963833,1.73E-125,CTRL_5_NK-CD8 T,XCL2
1.11562754,7.83E-250,STIM_0_CD14 Mono,HMOX1
1.114664072,1.20E-83,STIM_10_B Activated,TOMM40
1.114580768,1.97E-40,STIM_8_T activated,ZFAND2A
1.114470847,2.99E-208,CTRL_6_B,TNFRSF13B
1.113058168,2.06E-55,CTRL_12_pDC,BIK
1.112942151,4.61E-58,CTRL_9_B Activated,HSPE1
1.112657361,0,CTRL_0_CD14 Mono,LGALS1
1.112644047,4.28E-61,STIM_10_B Activated,LY9
1.112643264,2.30E-99,CTRL_6_B,AL928768.3
1.111722075,2.60E-53,CTRL_9_B Activated,HSPD1
1.111567934,0.000132905,CTRL_12_pDC,GPR183
1.11081315,3.63E-235,STIM_1_CD14 Mono,CSTB
1.107909365,3.84E-151,STIM_4_CD4 Naive T,C1QBP
1.106522335,2.73E-44,CTRL_10_Mk,NGFRAP1
1.106388513,1.03E-132,STIM_6_NK-CD8 T,CD8A
1.100469396,0,CTRL_9_B Activated,PYCR1
1.100454885,5.07E-222,CTRL_2_CD14 Mono,CYP1B1
1.099222666,0,STIM_0_CD14 Mono,CST3
1.099221821,2.94E-12,CTRL_10_Mk,TUBA4A
1.098929765,1.12E-12,CTRL_12_pDC,GSTP1
1.097947971,5.06E-33,CTRL_9_B Activated,PDIA6
1.097038839,8.85E-178,CTRL_1_CD4 Naive T,GIMAP5
1.095534599,1.55E-65,CTRL_9_B Activated,DDX21
1.095504195,1.31E-76,CTRL_2_CD14 Mono,IL1B
1.095462208,3.64E-234,STIM_1_CD14 Mono,NFKBIA
1.094350405,0,STIM_1_CD14 Mono,FCN1
1.09348956,1.09E-179,STIM_5_B,BLNK
1.092476054,1.45E-276,STIM_1_CD14 Mono,PLA2G7
1.09218075,0,CTRL_0_CD14 Mono,FTL
1.091582072,0,STIM_0_CD14 Mono,CCR1
1.088190889,8.63E-160,CTRL_1_CD4 Naive T,PASK
1.088128035,0,STIM_0_CD14 Mono,CD68
1.088004439,3.49E-15,CTRL_12_pDC,CTSC
1.087806614,1.02E-267,CTRL_0_CD14 Mono,LYZ
1.087768602,5.99E-158,STIM_7_CD16 Mono,GLUL
1.087135976,1.55E-178,STIM_7_CD16 Mono,SNX10
1.086536765,1.01E-184,CTRL_2_CD14 Mono,FUCA1
1.085428938,1.74E-97,STIM_9_DC,SYNGR2
1.084999535,1.57E-102,STIM_6_NK-CD8 T,APMAP
1.084940502,9.27E-140,STIM_1_CD14 Mono,IL8
1.084823066,2.19E-201,STIM_11_Mk,TREML1
1.084753596,3.74E-93,STIM_9_DC,CD86
1.084243348,3.68E-187,CTRL_4_CD16 Mono,CARD16
1.083850221,1.78E-29,CTRL_11_Mk,MAP3K7CL
1.08358878,6.90E-110,STIM_6_NK-CD8 T,XCL2
1.082860083,1.73E-91,CTRL_8_DC,GPR137B
1.082670193,2.54E-07,CTRL_12_pDC,IRF8
1.081132369,1.25E-78,STIM_5_B,ID3
1.080556385,1.51E-160,CTRL_1_CD4 Naive T,CD3G
1.080419145,7.28E-211,CTRL_12_pDC,MZB1
1.079713127,1.06E-225,CTRL_2_CD14 Mono,CTSD
1.078750126,1.79E-173,STIM_3_CD4 Memory T,TRAT1
1.07785158,4.45E-103,CTRL_9_B Activated,NOLC1
1.077819682,8.21E-181,CTRL_1_CD4 Naive T,LCK
1.075378716,5.07E-250,STIM_5_B,BANK1
1.075189208,1.21E-72,CTRL_10_Mk,PTCRA
1.074865764,0,STIM_1_CD14 Mono,CD63
1.074657393,3.36E-105,CTRL_8_DC,ANXA2
1.074326887,0.000106555,CTRL_12_pDC,TUBA1B
1.074134068,1.62E-70,CTRL_9_B Activated,YBX1
1.074091168,1.44E-217,STIM_7_CD16 Mono,LILRA5
1.073707542,6.29E-62,STIM_9_DC,GPR183
1.073183836,4.20E-58,CTRL_10_Mk,RGS18
1.072407469,7.16E-284,CTRL_2_CD14 Mono,C15orf48
1.071433944,4.25E-162,STIM_4_CD4 Naive T,LDHB
1.070956224,2.57E-72,CTRL_9_B Activated,PMAIP1
1.070018199,5.86E-63,CTRL_9_B Activated,PPA1
1.069809932,2.37E-154,STIM_7_CD16 Mono,GBP1
1.069396935,9.67E-21,STIM_11_Mk,TSC22D1
1.068971636,1.09E-135,STIM_6_NK-CD8 T,GCHFR
1.066578053,7.90E-66,CTRL_9_B Activated,CKS2
1.065705888,1.13E-67,CTRL_8_DC,CST7
1.063924699,1.10E-132,CTRL_10_Mk,SPARC
1.06304453,4.82E-216,STIM_1_CD14 Mono,WTAP
1.062571286,1.99E-144,CTRL_4_CD16 Mono,STXBP2
1.062370446,2.25E-162,CTRL_1_CD4 Naive T,CD27
1.062235917,4.17E-42,CTRL_9_B Activated,EIF5A
1.061811084,1.78E-290,CTRL_1_CD4 Naive T,CCR7
1.060162841,0,STIM_0_CD14 Mono,NPC2
1.059849765,1.34E-69,CTRL_9_B Activated,CD74
1.059798331,2.17E-20,STIM_9_DC,CCR7
1.05899526,0,STIM_0_CD14 Mono,ANXA2
1.05839234,0,STIM_1_CD14 Mono,ISG15
1.057811207,3.82E-292,STIM_1_CD14 Mono,IGSF6
1.057196797,5.51E-92,CTRL_9_B Activated,NOP16
1.056114482,3.38E-257,CTRL_8_DC,FCER1A
1.054544671,0,STIM_0_CD14 Mono,PSAP
1.053651158,8.23E-189,STIM_2_CD4 Naive T,LTB
1.053589489,0,STIM_0_CD14 Mono,S100A11
1.050154893,0,STIM_0_CD14 Mono,IDO1
1.050061821,9.82E-47,STIM_11_Mk,MMD
1.050054438,8.76E-207,CTRL_0_CD14 Mono,IER3
1.04995354,9.42E-64,STIM_1_CD14 Mono,IFI27
1.049764755,6.10E-60,STIM_6_NK-CD8 T,ID2
1.049636119,1.06E-116,STIM_6_NK-CD8 T,C1orf21
1.048491285,2.07E-163,STIM_3_CD4 Memory T,ZFP36L2
1.046313367,1.71E-71,STIM_9_DC,LGALS1
1.045990254,6.15E-226,CTRL_2_CD14 Mono,MAFB
1.045798994,4.57E-155,STIM_7_CD16 Mono,STXBP2
1.045552355,3.42E-180,STIM_7_CD16 Mono,FCER1G
1.045519472,1.56E-263,CTRL_2_CD14 Mono,CD68
1.045244442,3.63E-299,STIM_1_CD14 Mono,TYMP
1.044704958,8.31E-179,CTRL_5_NK-CD8 T,MATK
1.044524734,1.02E-291,STIM_1_CD14 Mono,LGALS1
1.043737321,4.78E-162,CTRL_4_CD16 Mono,SAT1
1.043583037,6.91E-08,STIM_11_Mk,HIST1H2AC
1.040808068,9.30E-44,STIM_11_Mk,TUBA4A
1.040727208,0,STIM_0_CD14 Mono,ATP6V1F
1.039891901,9.09E-78,STIM_5_B,RGS2
1.038342867,4.74E-65,CTRL_9_B Activated,HLA-DRA
1.038259848,6.20E-242,STIM_7_CD16 Mono,EDN1
1.038017815,2.54E-59,CTRL_5_NK-CD8 T,CD8A
1.037627744,3.50E-244,CTRL_2_CD14 Mono,C5AR1
1.037345989,1.84E-280,CTRL_2_CD14 Mono,ATP6V1F
1.035298032,5.09E-72,STIM_5_B,CD83
1.035276062,4.77E-253,CTRL_2_CD14 Mono,S100A8
1.034854806,5.38E-64,CTRL_8_DC,GPR183
1.03480239,7.84E-176,CTRL_4_CD16 Mono,SOD2
1.034402532,1.02E-167,CTRL_4_CD16 Mono,CST3
1.034387461,8.71E-109,CTRL_4_CD16 Mono,APOBEC3A
1.032556349,2.70E-278,CTRL_2_CD14 Mono,NPC2
1.028585097,5.74E-273,CTRL_0_CD14 Mono,GPX1
1.028174334,7.95E-93,STIM_5_B,CD37
1.028100857,1.34E-118,STIM_9_DC,FAM49A
1.028097556,1.62E-243,STIM_1_CD14 Mono,IL27
1.027536919,1.26E-154,CTRL_4_CD16 Mono,COTL1
1.027148525,2.86E-75,STIM_9_DC,S100A10
1.026441243,6.55E-251,STIM_2_CD4 Naive T,GIMAP7
1.025875257,5.46E-27,CTRL_10_Mk,TSC22D1
1.023610289,5.64E-147,CTRL_1_CD4 Naive T,CD52
1.023064048,2.31E-128,CTRL_0_CD14 Mono,IL1B
1.018045077,1.38E-79,STIM_6_NK-CD8 T,CD247
1.017088571,3.36E-224,STIM_1_CD14 Mono,IRG1
1.016389767,9.87E-109,CTRL_8_DC,IL4I1
1.016310673,0.020400121,CTRL_11_Mk,IFITM3
1.016302834,4.12E-88,STIM_4_CD4 Naive T,CD52
1.015523156,1.42E-87,STIM_6_NK-CD8 T,CD7
1.015234708,1.44E-164,STIM_2_CD4 Naive T,GIMAP5
1.014901588,3.54E-192,STIM_1_CD14 Mono,S100A8
1.013830584,6.03E-76,CTRL_5_NK-CD8 T,GZMM
1.013773284,5.88E-35,CTRL_8_DC,CD83
1.013733939,1.22E-174,STIM_9_DC,RAMP1
1.013293088,1.69E-248,STIM_1_CD14 Mono,TIMP1
1.012355392,1.05E-274,CTRL_2_CD14 Mono,ANXA2
1.011802754,3.82E-66,STIM_9_DC,CXCL11
1.008782476,0,STIM_1_CD14 Mono,FTH1
1.006993341,4.38E-286,STIM_1_CD14 Mono,LGALS3
1.006792454,1.11E-88,STIM_6_NK-CD8 T,LDHA
1.006396263,7.36E-119,STIM_5_B,CXCR4
1.004893983,1.97E-268,STIM_1_CD14 Mono,RSAD2
1.003243516,8.81E-122,CTRL_4_CD16 Mono,GLUL
1.003203015,1.40E-233,CTRL_2_CD14 Mono,PLAUR
0.999925745,5.55E-203,STIM_2_CD4 Naive T,SELL
0.99887005,0,CTRL_0_CD14 Mono,S100A10
0.998720105,1.49E-72,STIM_9_DC,ACTB
0.998515302,3.87E-62,CTRL_2_CD14 Mono,CCL4
0.998240389,1.30E-104,STIM_9_DC,CTSZ
0.997707078,1.85E-70,CTRL_6_B,C7orf50
0.997145569,2.29E-282,STIM_1_CD14 Mono,IFITM3
0.996874432,6.83E-81,CTRL_5_NK-CD8 T,GZMK
0.994400751,7.65E-234,CTRL_2_CD14 Mono,MGST1
0.993996904,3.38E-65,STIM_6_NK-CD8 T,CDK2AP2
0.992950536,9.43E-138,CTRL_3_CD4 Memory T,TRAT1
0.992647162,0,CTRL_0_CD14 Mono,S100A6
0.992261784,1.47E-76,STIM_6_NK-CD8 T,TNFRSF18
0.991435658,2.53E-61,STIM_9_DC,CFP
0.990481814,8.22E-118,STIM_4_CD4 Naive T,NHP2
0.989788003,3.99E-56,STIM_9_DC,HSPA1A
0.989734186,5.22E-81,CTRL_3_CD4 Memory T,ITM2A
0.989541107,3.50E-184,STIM_7_CD16 Mono,S100A11
0.989499177,2.10E-59,STIM_9_DC,BID
0.989462506,0,CTRL_0_CD14 Mono,CD63
0.988902816,1.02E-252,STIM_1_CD14 Mono,PDE4DIP
0.988744793,6.26E-51,CTRL_6_B,SYNGR2
0.987797269,1.46E-50,STIM_9_DC,HES4
0.986698451,4.05E-240,CTRL_0_CD14 Mono,PLAUR
0.985272544,2.09E-264,CTRL_1_CD4 Naive T,TMEM66
0.983337949,4.36E-77,STIM_11_Mk,RP11-367G6.3
0.982387358,1.09E-82,CTRL_5_NK-CD8 T,C12orf75
0.980713808,6.57E-300,CTRL_0_CD14 Mono,FCER1G
0.979773954,3.36E-280,STIM_1_CD14 Mono,FCER1G
0.978791608,1.86E-171,CTRL_1_CD4 Naive T,IL7R
0.978549519,4.29E-127,CTRL_0_CD14 Mono,PPIF
0.978498298,1.24E-113,CTRL_5_NK-CD8 T,SLA2
0.978084049,4.81E-224,CTRL_2_CD14 Mono,FCN1
0.977233387,2.01E-74,STIM_5_B,PMAIP1
0.977062639,5.70E-152,CTRL_1_CD4 Naive T,CD3E
0.976282699,3.37E-256,CTRL_2_CD14 Mono,FCER1G
0.975019843,6.20E-54,CTRL_5_NK-CD8 T,CD2
0.97435205,2.61E-89,CTRL_6_B,HVCN1
0.974346217,4.74E-122,STIM_3_CD4 Memory T,GPR171
0.974196237,4.39E-177,STIM_4_CD4 Naive T,GIMAP7
0.973882213,5.61E-173,STIM_7_CD16 Mono,CST3
0.973166407,6.16E-139,CTRL_6_B,BLNK
0.971217901,4.39E-93,STIM_6_NK-CD8 T,TIGIT
0.971129811,2.77E-60,STIM_9_DC,C15orf48
0.970290464,1.72E-42,CTRL_11_Mk,CLU
0.970023945,1.29E-215,STIM_1_CD14 Mono,SLAMF7
0.968835467,1.11E-281,CTRL_0_CD14 Mono,TYMP
0.96870595,1.05E-106,CTRL_5_NK-CD8 T,CD300A
0.968002468,1.07E-241,STIM_1_CD14 Mono,IL4I1
0.967789174,3.81E-160,CTRL_0_CD14 Mono,C19orf59
0.967467086,2.14E-64,CTRL_8_DC,BID
0.967374944,4.50E-68,STIM_9_DC,RAC1
0.9670912,7.79E-143,CTRL_4_CD16 Mono,RP11-290F20.3
0.966569517,7.01E-132,STIM_4_CD4 Naive T,CD3D
0.965416698,2.09E-36,CTRL_5_NK-CD8 T,CLEC2B
0.964813731,3.88E-74,STIM_9_DC,IL4I1
0.964253129,4.99E-139,STIM_7_CD16 Mono,COTL1
0.963139271,1.39E-102,STIM_6_NK-CD8 T,AOAH
0.963118058,1.97E-232,CTRL_2_CD14 Mono,KYNU
0.962856029,1.10E-154,CTRL_6_B,TCL1A
0.962159202,2.14E-162,CTRL_4_CD16 Mono,FCER1G
0.961719388,5.65E-68,STIM_6_NK-CD8 T,07. Sep
0.961560142,9.59E-146,STIM_7_CD16 Mono,SLAMF7
0.960652292,1.95E-268,STIM_1_CD14 Mono,TYROBP
0.959951545,2.22E-103,STIM_3_CD4 Memory T,RGS1
0.95763898,3.15E-71,CTRL_6_B,HLA-DQB1
0.957053398,1.75E-37,STIM_11_Mk,CCL5
0.956635777,3.96E-135,STIM_9_DC,SLC7A11
0.954935957,3.13E-91,CTRL_6_B,CXCR4
0.954233229,5.18E-120,STIM_4_CD4 Naive T,NME1
0.95277829,5.41E-251,CTRL_0_CD14 Mono,NPC2
0.952180118,2.59E-82,CTRL_10_Mk,RP11-367G6.3
0.950656464,4.38E-198,STIM_3_CD4 Memory T,PABPC1
0.950277057,1.49E-116,CTRL_4_CD16 Mono,GBP2
0.94875948,4.73E-129,CTRL_1_CD4 Naive T,GTF3A
0.946501713,1.31E-117,STIM_3_CD4 Memory T,TNFRSF4
0.945692827,1.52E-134,CTRL_4_CD16 Mono,CASP1
0.945624298,0,STIM_9_DC,FSCN1
0.945623259,3.00E-132,CTRL_10_Mk,GP9
0.94332447,1.91E-121,STIM_5_B,HVCN1
0.943160911,1.64E-121,CTRL_3_CD4 Memory T,CD2
0.942559422,2.74E-42,CTRL_5_NK-CD8 T,ITM2C
0.942272389,9.86E-133,STIM_3_CD4 Memory T,CD2
0.940343411,2.02E-61,CTRL_8_DC,CFP
0.94028587,5.17E-239,CTRL_2_CD14 Mono,SDCBP
0.940062477,1.83E-171,CTRL_6_B,LINC00926
0.93995917,5.54E-54,CTRL_5_NK-CD8 T,C5orf56
0.939015217,3.20E-117,STIM_7_CD16 Mono,DUSP1
0.938937583,5.01E-142,CTRL_4_CD16 Mono,SNX10
0.938926458,1.28E-148,CTRL_1_CD4 Naive T,OCIAD2
0.938227731,5.77E-75,CTRL_8_DC,KYNU
0.938113912,4.03E-237,CTRL_2_CD14 Mono,PSAP
0.937599236,2.72E-134,CTRL_8_DC,DAPP1
0.937481916,1.77E-123,STIM_7_CD16 Mono,CXCL10
0.937208809,5.89E-207,STIM_5_B,TNFRSF13B
0.935870321,6.22E-98,CTRL_10_Mk,TMEM40
0.934515923,3.42E-195,CTRL_8_DC,AGPAT9
0.933426991,7.60E-158,CTRL_0_CD14 Mono,HPSE
0.931543643,1.56E-155,STIM_7_CD16 Mono,HAVCR2
0.93107767,1.51E-117,CTRL_6_B,PKIG
0.929288217,5.93E-99,STIM_2_CD4 Naive T,TARBP1
0.92916938,8.55E-127,CTRL_0_CD14 Mono,OSM
0.928984272,8.66E-54,STIM_6_NK-CD8 T,DUSP2
0.928634807,1.44E-158,STIM_7_CD16 Mono,IFITM3
0.926426845,3.82E-12,STIM_11_Mk,TAGLN2
0.924948385,1.02E-56,CTRL_6_B,CHPT1
0.924255547,6.90E-90,CTRL_6_B,HLA-DPB1
0.922574745,6.65E-229,CTRL_0_CD14 Mono,SPI1
0.92240105,1.07E-129,CTRL_5_NK-CD8 T,FASLG
0.921906389,4.62E-186,CTRL_0_CD14 Mono,FCN1
0.921900085,1.27E-57,CTRL_5_NK-CD8 T,EVL
0.921630564,8.25E-107,CTRL_4_CD16 Mono,MT2A
0.920570478,1.58E-61,CTRL_5_NK-CD8 T,CD96
0.919414876,4.63E-121,CTRL_5_NK-CD8 T,LINC00996
0.916994431,9.75E-149,STIM_7_CD16 Mono,IFITM2
0.916574701,1.16E-169,CTRL_0_CD14 Mono,OLR1
0.915922488,2.39E-156,STIM_2_CD4 Naive T,LDHB
0.914655357,7.53E-246,CTRL_0_CD14 Mono,RAC1
0.913542787,2.42E-224,CTRL_2_CD14 Mono,LGALS1
0.912713119,7.07E-154,CTRL_2_CD14 Mono,THBS1
0.911684713,9.29E-195,CTRL_4_CD16 Mono,SMPDL3A
0.911662296,3.65E-165,CTRL_3_CD4 Memory T,PABPC1
0.910733276,7.31E-214,STIM_2_CD4 Naive T,CCR7
0.910581715,4.05E-97,STIM_4_CD4 Naive T,CD8B
0.908014065,1.51E-112,CTRL_5_NK-CD8 T,SPON2
0.906582612,3.71E-198,CTRL_2_CD14 Mono,NINJ1
0.905308859,2.91E-140,CTRL_1_CD4 Naive T,PIK3IP1
0.903188513,1.61E-78,CTRL_2_CD14 Mono,APOBEC3A
0.902920832,8.81E-74,CTRL_8_DC,MARCKSL1
0.902767766,1.14E-163,CTRL_6_B,BANK1
0.902454459,2.44E-86,CTRL_8_DC,CD36
0.899367339,2.40E-145,STIM_4_CD4 Naive T,NPM1
0.897752105,9.69E-124,CTRL_3_CD4 Memory T,CREM
0.894610377,1.71E-122,STIM_3_CD4 Memory T,SPOCK2
0.894273912,2.86E-126,STIM_6_NK-CD8 T,HOPX
0.893776188,2.61E-106,CTRL_3_CD4 Memory T,ZFP36L2
0.893522914,1.52E-250,CTRL_4_CD16 Mono,PPM1N
0.892306106,6.20E-111,CTRL_1_CD4 Naive T,LAT
0.891135253,2.14E-134,CTRL_0_CD14 Mono,PDLIM7
0.890904605,0.000243378,CTRL_11_Mk,IGSF6
0.889833033,1.47E-08,CTRL_11_Mk,FTL
0.889114676,2.82E-271,CTRL_0_CD14 Mono,ANXA5
0.888646779,7.77E-215,CTRL_2_CD14 Mono,SLC7A11
0.88834738,1.06E-124,CTRL_0_CD14 Mono,FPR1
0.887285564,4.96E-159,CTRL_5_NK-CD8 T,SH2D1B
0.884535274,1.52E-138,CTRL_4_CD16 Mono,PTPN6
0.884299217,3.49E-92,CTRL_8_DC,ACTB
0.8841371,1.41E-177,CTRL_2_CD14 Mono,IER3
0.883970183,7.60E-215,CTRL_2_CD14 Mono,TYMP
0.882478139,4.03E-77,STIM_11_Mk,RGS18
0.882470735,1.19E-36,STIM_11_Mk,NGFRAP1
0.881921597,3.44E-35,CTRL_5_NK-CD8 T,CCL4
0.880915495,9.40E-99,STIM_4_CD4 Naive T,GIMAP5
0.879570734,1.48E-60,CTRL_6_B,ADAM28
0.879051414,7.68E-81,CTRL_8_DC,FAM49A
0.87879615,3.04E-210,CTRL_2_CD14 Mono,S100A4
0.878030821,8.71E-104,STIM_3_CD4 Memory T,GPR183
0.877669418,8.70E-64,CTRL_5_NK-CD8 T,TIGIT
0.877181279,1.50E-62,STIM_5_B,HERPUD1
0.875652311,1.50E-154,STIM_2_CD4 Naive T,CD3D
0.875434903,1.77E-28,CTRL_0_CD14 Mono,G0S2
0.872772171,3.37E-52,STIM_5_B,IGFBP4
0.870926572,6.39E-279,CTRL_0_CD14 Mono,S100A11
0.870856061,6.10E-134,CTRL_0_CD14 Mono,CLEC4E
0.869926385,1.75E-194,CTRL_2_CD14 Mono,PDE4DIP
0.869354365,9.36E-79,CTRL_3_CD4 Memory T,FYN
